"lat_new","lon_new","Flood_1999","Thao_check","VLUCD_L2_3","dsm_bathy","flow_accum","aspect","curvature","hillshade","roughness","slope","spi","tpi","twi","precip_s_1","flood_rfr_","hand30_100","gsw_occure","density_ri","density_ro","distance_r","distance_1","X","Y","Z"
"16.1750962699","107.430757726","0","0","11","539.76","0.0252553","176.986","1.38844650254","176.733","28.0605","23.3166","0.0108689705196","-1.38844650254","0.0579399237963","474.036","0.00789324831921","225.156","0","0.0661273","0.02485","0.214429","0.0364005","107.43075772629","16.175096269877","-2.3500001361754E-5"
"16.1786654614","107.347952483","0","0","11","662.045","0.0141193","128.923","0.929521470338","153.969","14.329","11.338","0.00281286785732","-0.929521470338","0.0780486068565","547.093","0","42.0139","0","0.0975111","0.00261117","0.256903","0.17487","107.34795248342","16.178665461442","-2.3500001361754E-5"
"16.1862202496","107.316841031","0","0","11","625.617","0.00914373","226.499","-0.405930376417","179.375","6.75407","5.84394","0.000929051411891","0.405930376417","0.109364948855","595.956","0.182926829268","3.4352","0","0.26289","0.0663499","0.32578","0.0545686","107.31684103079","16.186220249565","-2.3500001361754E-5"
"16.1876479269","107.273296894","0","0","11","733.237","0.0243327","208.969","-0.178437329977","190.408","29.4823","23.0275","0.0114445948269","0.178437329977","0.0859379308701","618.327","0.0551854426628","47.4216","0","0.287775","0.0359499","0.165311","0.145481","107.27329689424","16.18764792691","-2.3500001361754E-5"
"16.1693855632","107.278710168","0","0","11","994.342","0.00824922","16.7022","1.08781888464","173.406","16.7751","10.3906","0.00151749126319","-1.08781888464","0.0473054153531","603.123","0","161.596","0","0.178749","0.0067545","0.153589","0.178244","107.27871016814","16.169385563193","-2.3500001361754E-5"
"16.1636748574","107.439323786","0","0","11","293.801","0.0140078","132.362","-2.03596331144","171.016","11.7184","4.82941","0.00119266268063","2.03596331144","0.261724226761","474.035","1.843517143E-5","118.859","0","0.1219","0.0350333","0.103418","0.00989497","107.43932378586","16.163674857409","-2.3500001361754E-5"
"16.1686717254","107.36222925","0","0","11","635.178","0.0153574","29.8368","0.682369167609","148.35","30.1563","23.2605","0.00660632065058","-0.682369167609","0.0358556329713","512.509","0.0191470134512","124.591","0","0.129462","0.00400822","0.0656292","0.123614","107.36222924968","16.16867172542","-2.3500001361754E-5"
"16.1698019691","107.393935568","0","0","11","390.845","0.0118487","117.157","-5.7284246029","120.431","33.776","22.3482","0.00509960942251","5.7284246029","0.0299339082144","474.223","0.00563431333578","58.4048","0","0.208757","0.000550199","0.139474","0.200833","107.39393556787","16.169801969086","-2.3500001361754E-5"
"16.1629610187","107.29512845","0","0","11","728.841","0.0166923","62.0865","4.97324354003","109.482","41.626","26.6171","0.00836278126059","-4.97324354003","0.0333245059731","593.068","0.0228004825988","136.385","0","0.259472","0.0680918","0.270061","0.0928536","107.29512844952","16.162961018736","-2.3500001361754E-5"
"16.1572503121","107.354377028","0","0","11","701.679","0.013981","141.082","-0.69737863699","125.722","37.8426","28.626","0.00759404098269","0.69737863699","0.0257233292778","511.157","0.0705470328041","93.3631","0","0.103406","0.024525","0.175956","0.116083","107.35437702788","16.157250312052","-2.3500001361754E-5"
"16.1615333423","107.380075208","0","0","11","565.132","0.0468216","102.932","-5.31573832169","82.8155","46.713","33.9475","0.0294862664289","5.31573832169","0.063181534915","473.054","0.0214079518793","144.618","0","0.213869","0.0139637","0.265889","0.092965","107.3800752075","16.16153334229","-2.3500001361754E-5"
"16.1601056658","107.408628739","0","0","11","526.492","0.0119611","294.589","0.622044353762","239.589","33.286","21.9244","0.00482400533528","-0.622044353762","0.0296288124369","461.029","0.0266165154378","186.626","0","0.160595","0.0182774","0.42244","0.121964","107.40862873913","16.160105665844","-2.3500001361754E-5"
"16.1622471801","107.420050152","0","0","11","681.337","0.0148961","76.7131","-2.25412552502","124.449","30.0123","21.3792","0.00589044635319","2.25412552502","0.0387225159601","464.631","0.00697674474188","107.777","0","0.0726574","0.0323475","0.0916718","0.0718364","107.42005015159","16.162247180063","-2.3500001361754E-5"
"16.1601056658","107.335817232","0","0","11","680.659","0.212495","183.553","-3.37357470073","184.918","29.1636","24.29","0.0953690293176","3.37357470073","0.419155677663","542.85","0.0447442142522","22.7491","0","0.210293","0.0855154","0.257263","0.0817295","107.33581723228","16.160105665844","-2.3500001361754E-5"
"16.1458288996","107.280137845","0","0","11","719.249","0.179529","121.703","5.83984910098","148.299","26.8325","15.4548","0.0498003556057","-5.83984910098","0.628102528329","571.515","0.0080300542242","12.8844","0","0.135838","0.00443343","0.166979","0.116315","107.28013784459","16.145828899584","-2.3500001361754E-5"
"16.1415458693","107.365798441","0","0","14","746.091","0.015776","292.004","1.0141767329","235.274","25.2336","19.331","0.00557135569007","-1.0141767329","0.0446646578082","474.088","0.0959299644651","59.3432","0","0.115062","0.0397877","0.212197","0.100183","107.36579844125","16.141545869346","-2.3500001361754E-5"
"16.1465427374","107.37864753","0","0","11","607.238","0.0942704","72.0908","-1.45817079168","156.364","10.2539","8.57586","0.0143441214927","1.45817079168","0.601416518059","460.554","0.0807775604317","19.2398","0","0.196654","0.0287809","0.0296684","0.0080354","107.37864753016","16.146542737357","-2.3500001361754E-5"
"16.1429735458","107.409342578","0","0","11","530.996","0.0121085","198.556","-4.54186613963","198.572","30.0506","18.5189","0.00408816724094","4.54186613963","0.0359132128775","452.31","0","109.38","0","0.172836","0.0443536","0.150957","0.054589","107.4093425778","16.142973545793","-2.3500001361754E-5"
"16.1444012231","107.390782781","0","0","11","546.298","0.013666","125.983","-3.73027122883","105.272","46.1316","31.3784","0.00834388610248","3.73027122883","0.0222400657871","444.018","0","186.171","0","0.207995","0.0380115","0.0743365","0.0243757","107.3907827813","16.144401223138","-2.3500001361754E-5"
"16.1493980911","107.350093999","0","0","11","664","0.0134593","150.077","-0.746114719301","186.21","12.4916","9.73053","0.003984853344","0.746114719301","0.229975928963","509.306","0","43.2118","0","0.168667","0.0756398","0.0711652","0.0641166","107.35009399854","16.149398091149","-2.3500001361754E-5"
"16.1469591432","107.438907381","0","0","11","519.841","0.0142937","337.331","-1.97709552404","205.146","33.4218","21.8593","0.00571790670567","1.97709552404","0.0355062514842","471.458","0","173.945","0","0.145406","0.0396936","0.102573","0.0423503","107.43890738087","16.14695914325","-2.3500001361754E-5"
"16.1394043551","107.285848551","0","0","11","748.865","0.040175","314.594","0.452628213271","248.473","48.621","32.1544","0.0256789220625","-0.452628213271","0.0616449474211","563.371","0","71.7374","0","0.126528","0.00615033","0.101721","0.102089","107.28584855127","16.139404355127","-2.3500001361754E-5"
"16.1394043551","107.420050152","0","0","11","670.106","0.0279425","105.779","-2.26684850123","112.43","35.8476","23.607","0.0122943107015","2.26684850123","0.0626925076053","456.33","0.000728284136725","123.753","0","0.13771","0.0352524","0.269774","0.0239942","107.42005015159","16.139404355127","-2.3500001361754E-5"
"16.1344074862","107.387927428","0","0","11","619.498","0.0148274","74.6017","0.0355156021452","126.032","27.1501","18.3815","0.00497881248764","-0.0355156021452","0.0452988660222","443.338","0.0243902439024","99.1031","0","0.214432","0.061664","0.251518","0.00637167","107.38792742841","16.134407486217","-2.3500001361754E-5"
"16.1298270241","107.434624351","0","0","11","743.767","0.0131629","313.835","-0.326636638167","187.451","23.6083","15.8451","0.00374267609288","0.326636638167","0.0466362176524","462.77","0.0185548176902","124.067","0","0.111058","0.0262036","0.118828","0.127869","107.43462435063","16.129827024098","-2.3500001361754E-5"
"16.1187030435","107.296556126","0","0","11","942.1","0.0126325","323.766","-0.00928717291863","236.342","51.2978","32.9915","0.00842257304373","0.00928717291863","0.0198485269023","522.557","0.0275058421149","113.976","0","0.160767","0.00205656","0.0380059","0.192217","107.29655612596","16.118703043511","-2.3500001361754E-5"
"16.127269104","107.412197931","0","0","11","866.04","0.00837732","30.8274","1.70625718288","139.43","39.9397","26.4953","0.00428939585217","-1.70625718288","0.0173720604204","449.92","0","339.292","0","0.214215","0.0799892","0.25179","0.0392233","107.41219793069","16.127269103986","-2.3500001361754E-5"
"16.1187030435","107.377933692","0","0","11","659.343","0.00867412","215.596","-3.1133800868","200.653","22.6661","12.4615","0.00199842648049","3.1133800868","0.0425560702171","445.522","0.238382689667","97.7479","0","0.204962","0.104618","0.118161","0.0905961","107.37793369239","16.118703043511","-2.3500001361754E-5"
"16.1244137502","107.388641267","0","0","11","521.522","0.186722","37.8767","-2.71910132662","144.476","24.5697","19.3208","0.108712608034","2.71910132662","0.899805149631","441.679","0.279876132662","17.7837","0","0.241749","0.0886054","0.0384064","0.0109423","107.38864126708","16.124413750194","-2.3500001361754E-5"
"16.1286967804","107.373650662","0","0","11","707.045","0.0539211","154.667","1.80197023724","173.827","17.0373","11.3894","0.0116316014556","-1.80197023724","0.249636894633","453.999","0.00506186613401","8.31615","0","0.174251","0.0622952","0.19211","0.110111","107.37365066215","16.128696780432","-2.3500001361754E-5"
"16.1244137502","107.444320654","0","0","11","638.055","0.00975798","74.2435","1.53908769102","85.1718","46.6101","33.4198","0.00666619501294","-1.53908769102","0.0152515532333","468.388","0.00621268518883","120.484","0","0.119989","0.000326992","0.0954871","0.202291","107.44432065388","16.124413750194","-2.3500001361754E-5"
"16.1187030435","107.42076399","0","0","14","544","0.0229388","157.971","3.18278177128","192.067","16.5488","12.5053","0.00497723549876","-3.18278177128","0.12618639186","451.047","0.0298407005663","21.3974","0","0.167497","0.0498895","0.0441061","0.020932","107.42076399027","16.118703043511","-2.3500001361754E-5"
"16.1286967804","107.357946219","0","0","11","655.832","0.0225609","251.908","-4.03571430444","242.433","26.2015","21.4908","0.00864576239384","4.03571430444","0.0565097646824","472.7","0.0243902439024","49.3195","0","0.18248","0.0879261","0.0522541","0.0182255","107.35794621944","16.128696780432","-2.3500001361754E-5"
"16.1122784991","107.396493488","0","0","5","473","0.182198","75.3722","0.0639319123116","179.576","3.68952","3.58218","0.0114492999078","-0.0639319123116","84.5221500722","437.201","0.353644920639","3.49002","0","0.247619","0.100814","0.00334192","0.00650233","107.39649348798","16.112278499054","-2.3500001361754E-5"
"16.1079954697","107.444320654","0","0","11","814.365","0.083708","143.96","2.53694882892","130.205","48.0831","29.553","0.0478636864281","-2.53694882892","0.146366699477","463.049","0","75.1727","0","0.115534","0.00700168","0.270738","0.13244","107.44432065388","16.107995469715","-2.3500001361754E-5"
"16.1129923377","107.409342578","0","0","4","481.638","1.19063","183.382","0.932260382891","179.686","10.8188","8.04275","0.20367046547","-0.932260382891","8.07083656631","437.76","0.269082195909","7.75663","0","0.215763","0.0815325","0.00492282","0.000312887","107.4093425778","16.112992337726","-2.3500001361754E-5"
